episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count	recovery_status	recovery_source	last_observed_step	last_observed_distance_to_start	recovery_note
555	958	2azQ1b91cZZ	177	262	5	0.151484	7.823619	54876	2026-09-10T09:34:52+01:00	2026-09-10T09:55:50+01:00	0	path_following_geometry_m50_20260910_ep555	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep555_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep555_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep555/measurements/957.json	True	True	True	0.6820343732833862			corrupt_measurement_terminal_fields_recovered	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep555/measurements/957.json			Terminal round_trip fields recovered verbatim; JSON remains corrupt: 439: unexpected token at '{
669	1153	X7HyMhZNoso	681	1168	5	0.000000	3.276791	54990	2026-09-10T09:55:50+01:00	2026-09-10T10:21:14+01:00	0	path_following_geometry_m50_20260910_ep669	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep669_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep669_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep669/measurements/1152.json	True	False	False	5.421489238739014	0.18969875574111938	6527	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep669/measurements/1152.json			""
670	1154	X7HyMhZNoso	681	1168	5	0.000000	3.276791	54991	2026-09-10T10:21:14+01:00	2026-09-10T10:44:36+01:00	0	path_following_geometry_m50_20260910_ep670	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep670_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep670_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep670/measurements/1153.json	True	False	False	5.991000652313232	0.5553672313690186	6702	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep670/measurements/1153.json			""
367	602	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	54688	2026-09-10T10:44:36+01:00	2026-09-10T11:00:51+01:00	0	path_following_geometry_m50_20260910_ep367	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep367_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep367_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep367/measurements/601.json	True	True	True	1.508176565170288	1.0334663391113281	4777	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep367/measurements/601.json			""
579	1006	2azQ1b91cZZ	93	139	5	0.000000	13.760632	54900	2026-09-10T11:00:51+01:00	2026-09-10T11:41:13+01:00	0	path_following_geometry_m50_20260910_ep579	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep579_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep579_eval.log		True	False	False		1.2744101285934448		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep579_eval.log	6150	7.381	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
484	827	zsNo4HB9uLZ	810	1375	4	0.000000	7.025259	54805	2026-09-10T11:41:13+01:00	2026-09-10T11:51:01+01:00	0	path_following_geometry_m50_20260910_ep484	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep484_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep484_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep484/measurements/826.json	True	True	True	2.5464816093444824	0.9377176761627197	2452	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep484/measurements/826.json			""
5	9	x8F5xyUWy9e	354	583	5	0.000000	10.248705	54326	2026-09-10T11:51:01+01:00	2026-09-10T12:38:38+01:00	0	path_following_geometry_m50_20260910_ep5	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep5_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep5_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep5/measurements/8.json	True	False	False	7.575470924377441	0.14081372320652008	6777	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep5/measurements/8.json			""
696	1189	2azQ1b91cZZ	120	166	5	0.333557	10.149185	55017	2026-09-10T12:38:38+01:00	2026-09-10T12:41:32+01:00	0	path_following_geometry_m50_20260910_ep696	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep696_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep696_eval.log		True	False	False		1.783077597618103		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep696_eval.log	1550	8.383	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
88	128	EU6Fwq7SyZv	288	460	5	1.348777	2.292637	54409	2026-09-10T12:41:32+01:00	2026-09-10T13:29:49+01:00	0	path_following_geometry_m50_20260910_ep88	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep88_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep88_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep88/measurements/127.json	True	False	False	2.5687084197998047	1.8556019067764282	6827	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep88/measurements/127.json			""
534	922	zsNo4HB9uLZ	840	1435	5	0.750029	4.674335	54855	2026-09-10T13:29:49+01:00	2026-09-10T13:36:50+01:00	0	path_following_geometry_m50_20260910_ep534	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep534_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep534_eval.log		True	False	False		1.3971071243286133		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep534_eval.log	2000	3.866	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
647	1119	x8F5xyUWy9e	354	583	4	0.475000	8.374983	54968	2026-09-10T13:36:50+01:00	2026-09-10T14:04:21+01:00	0	path_following_geometry_m50_20260910_ep647	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep647_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep647_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep647/measurements/1118.json	True	False	False	0.9526087045669556	2.1749417781829834	6252	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep647/measurements/1118.json			""
89	129	EU6Fwq7SyZv	288	460	5	1.349000	2.292637	54410	2026-09-10T14:04:21+01:00	2026-09-10T14:50:05+01:00	0	path_following_geometry_m50_20260910_ep89	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep89_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep89_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep89/measurements/128.json	True	False	False	3.919656991958618	2.5040204524993896	6027	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep89/measurements/128.json			""
268	422	QUCTc6BB5sX	435	739	6	0.000000	8.807060	54589	2026-09-10T14:50:05+01:00	2026-09-10T15:32:58+01:00	0	path_following_geometry_m50_20260910_ep268	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep268_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep268_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep268/measurements/421.json	True	False	False	10.281944274902344	1.1844533681869507	6927	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep268/measurements/421.json			""
1038	1759	X7HyMhZNoso	366	601	7	0.000000	6.916351	55359	2026-09-10T15:32:58+01:00	2026-09-10T16:00:41+01:00	0	path_following_geometry_m50_20260910_ep1038	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep1038_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep1038_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep1038/measurements/1758.json	True	False	False	2.8469655513763428	1.142525553703308	7377	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep1038/measurements/1758.json			""
205	314	2azQ1b91cZZ	807	1372	0	0.000000	0.000000	54526	2026-09-10T16:00:41+01:00	2026-09-10T16:55:05+01:00	0	path_following_geometry_m50_20260910_ep205	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep205_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep205_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep205/measurements/313.json	True	False	False	6.527634143829346	0.9085872769355774	6902	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep205/measurements/313.json			""
671	1155	X7HyMhZNoso	681	1168	0	0.000000	0.000000	54992	2026-09-10T16:55:05+01:00	2026-09-10T17:25:24+01:00	0	path_following_geometry_m50_20260910_ep671	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep671_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep671_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep671/measurements/1154.json	True	False	False	5.421489238739014			corrupt_measurement_terminal_fields_recovered	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep671/measurements/1154.json			Terminal round_trip fields recovered verbatim; JSON remains corrupt: 439: unexpected token at '{
688	1178	X7HyMhZNoso	783	1336	4	0.000000	5.328553	55009	2026-09-10T17:25:24+01:00	2026-09-10T17:42:45+01:00	0	path_following_geometry_m50_20260910_ep688	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep688_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep688_eval.log		True	False	False		0.10431994497776031		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep688_eval.log	5650	0.077	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
319	512	2azQ1b91cZZ	429	721	4	0.000000	2.920037	54640	2026-09-10T17:42:45+01:00	2026-09-10T17:47:40+01:00	0	path_following_geometry_m50_20260910_ep319	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep319_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep319_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep319/measurements/511.json	True	True	True	2.243438482284546	0.5570323467254639	1927	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep319/measurements/511.json			""
264	418	zsNo4HB9uLZ	639	1108	6	0.000000	12.458867	54585	2026-09-10T17:47:40+01:00	2026-09-10T17:59:11+01:00	0	path_following_geometry_m50_20260910_ep264	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep264_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep264_eval.log		True	False	False		0.9723853468894958		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep264_eval.log	2475	10.161	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
658	1139	QUCTc6BB5sX	660	1141	5	0.000000	7.587837	54979	2026-09-10T17:59:11+01:00	2026-09-10T17:59:30+01:00	98	path_following_geometry_m50_20260910_ep658	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep658_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep658_eval.log								infrastructure_failure_not_recovered	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep658_vlm.log			Evaluator did not run; navigation outcome is unavailable.
310	500	QUCTc6BB5sX	792	1351	5	0.368796	9.363973	54631	2026-09-10T17:59:30+01:00	2026-09-10T18:21:06+01:00	0	path_following_geometry_m50_20260910_ep310	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep310_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep310_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep310/measurements/499.json	True	False	False	6.063704967498779	0.44339168071746826	4227	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep310/measurements/499.json			""
351	577	QUCTc6BB5sX	105	151	5	0.000000	14.125214	54672	2026-09-10T18:21:06+01:00	2026-09-10T19:08:33+01:00	0	path_following_geometry_m50_20260910_ep351	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep351_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep351_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep351/measurements/576.json	True	False	False	7.640093803405762	0.4903702735900879	7552	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep351/measurements/576.json			""
539	930	TbHJrupSAjP	198	307	7	1.519046	7.633810	54860	2026-09-10T19:08:33+01:00	2026-09-10T19:45:37+01:00	0	path_following_geometry_m50_20260910_ep539	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep539_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep539_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep539/measurements/929.json	True	False	False	4.503635883331299			corrupt_measurement_terminal_fields_recovered	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep539/measurements/929.json			Terminal round_trip fields recovered verbatim; JSON remains corrupt: 439: unexpected token at '{
581	1008	2azQ1b91cZZ	93	139	5	0.000000	13.760632	54902	2026-09-10T19:45:37+01:00	2026-09-10T20:01:23+01:00	0	path_following_geometry_m50_20260910_ep581	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep581_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep581_eval.log		True	False	False		0.6424679160118103		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep581_eval.log	3350	9.990	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
366	601	X7HyMhZNoso	1038	1759	7	0.000000	9.774121	54687	2026-09-10T20:01:23+01:00	2026-09-10T20:20:46+01:00	0	path_following_geometry_m50_20260910_ep366	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep366_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep366_eval.log		True	False	False		0.36841338872909546		missing_measurement_outcome_recovered_from_log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep366_eval.log	5525	7.771	Success flags recovered from control flow. Outbound uses logged XY error against the batch 3.0 m success radius; no accepted return stop occurred. Last distance is telemetry, not necessarily the terminal distance.
490	854	X7HyMhZNoso	1038	1759	6	0.190970	8.881821	54811	2026-09-10T20:20:46+01:00	2026-09-10T20:33:50+01:00	0	path_following_geometry_m50_20260910_ep490	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep490_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep490_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep490/measurements/853.json	True	False	False	3.1515629291534424	0.42571821808815	4502	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep490/measurements/853.json			""
888	1516	EU6Fwq7SyZv	276	442	4	1.213044	8.710791	55209	2026-09-10T20:33:50+01:00	2026-09-10T21:20:54+01:00	0	path_following_geometry_m50_20260910_ep888	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep888_vlm.log	<NaVILA-Bench>/batch_logs/path_following_geometry_m50_20260910/ep888_eval.log	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep888/measurements/1515.json	True	False	False	1.7662265300750732	1.4748587608337402	6427	original_summary	<NaVILA-Bench>/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_path_following_geometry_m50_20260910_ep888/measurements/1515.json			""
