episode_idx	episode_id	scene	exit_code	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
738	1264	2azQ1b91cZZ	0	True	False	False	16.5271053314209	1.3032764196395874
833	1419	TbHJrupSAjP	0	True	True	True	0.5556175708770752	0.53794926404953
885	1513	QUCTc6BB5sX	0	True	True	True	2.6785318851470947	0.9974042773246765
895	1523	zsNo4HB9uLZ	0	True	True	True	1.9551234245300293	0.2726956009864807
960	1642	TbHJrupSAjP	0	False	False	False	3.9468207359313965	3.0998294353485107
993	1699	QUCTc6BB5sX	0	True	True	True	1.6262311935424805	0.5218334794044495
1002	1711	TbHJrupSAjP	0	True	False	False	3.9582302570343018	0.3395085036754608
1003	1712	TbHJrupSAjP	0	False	False	False	4.4970574378967285	3.1964123249053955
4	8	x8F5xyUWy9e	0	True	False	False	10.86423397064209	1.630487084388733
994	1700	QUCTc6BB5sX	0	True	False	False	4.380245685577393	0.7182726860046387
368	603	X7HyMhZNoso	0	True	False	False	7.450560569763184	0.5505285263061523
295	476	zsNo4HB9uLZ	0	True	False	False	8.454742431640625	1.241093397140503
1040	1761	X7HyMhZNoso	0	True	True	True	0.9065192341804504	0.9927946925163269
276	442	EU6Fwq7SyZv	0	True	False	False	9.43173885345459	2.828115940093994
427	719	2azQ1b91cZZ	0	True	False	False	2.635852336883545	0.28307196497917175
680	1167	zsNo4HB9uLZ	0	True	True	True	1.4557734727859497	2.5264477729797363
19	32	x8F5xyUWy9e	0	True	False	False	5.502257823944092	0.7486945390701294
489	853	X7HyMhZNoso	0	True	False	False	6.33724308013916	0.21162594854831696
491	855	X7HyMhZNoso	0	True	False	False	6.24753999710083	0.11785612255334854
344	564	X7HyMhZNoso	0	True	False	False	8.641373634338379	0.6770036816596985
187	281	EU6Fwq7SyZv	0					
123	175	QUCTc6BB5sX	0	False	False	False	4.120622634887695	None
498	868	zsNo4HB9uLZ	0	True	False	False	7.742419242858887	2.1501309871673584
93	139	2azQ1b91cZZ	0	False	False	False	14.418378829956055	None
653	1134	Z6MFQCViBuw	0	True	False	False	5.587227821350098	1.4788841009140015
87	127	EU6Fwq7SyZv	0	False	False	False	0.0	None
687	1177	X7HyMhZNoso	0	True	True	True	1.7572165727615356	0.48359939455986023
355	584	x8F5xyUWy9e	0	False	False	False	2.338914632797241	None
