head,method,requested_coverage,coverage,bad_rate,score_threshold
pose,model,0.7999999999999999,0.8000028660489786,0.47088631257339375,0.9343493829424274
pose,model,0.85,0.8500077110675681,0.5006543232589847,0.9477059701538074
pose,model,0.9,0.900005955546562,0.5272868440457452,0.9594230336392465
pose,model,0.95,0.9500134311901233,0.5515027063795571,0.9703036187892893
pose,model,1.0,1.0,0.573151510697671,0.9923334160639623
pose,simple_icp_baseline,0.05,0.050014213113537834,0.03549260557675112,0.004878104572561245
pose,simple_icp_baseline,0.1,0.10006660694454543,0.033887611147114416,0.004878104572561245
pose,simple_icp_baseline,0.15,0.1500747935900217,0.0443708568649547,0.004878104572561245
pose,simple_icp_baseline,0.2,0.20001084061874708,0.0400459767963991,0.004878104572561245
pose,simple_icp_baseline,0.25,0.25000508018429035,0.050609744118042095,0.004878104572561245
pose,simple_icp_baseline,0.3,0.30001024907215723,0.05316246220694265,0.004878104572561245
pose,simple_icp_baseline,0.35,0.350003280109179,0.0559605962731693,0.2751685940177567
pose,simple_icp_baseline,0.39999999999999997,0.40000605059620814,0.10432407877364974,0.49301489480248356
pose,simple_icp_baseline,0.44999999999999996,0.4500086941807015,0.14847886907762706,0.5731973385902339
pose,simple_icp_baseline,0.49999999999999994,0.5000047537328919,0.2062571961785981,0.6246363588615909
pose,simple_icp_baseline,0.5499999999999999,0.5500050765654327,0.26618655498218446,0.6608617544180652
pose,simple_icp_baseline,0.6,0.6000082042869462,0.32019901064976125,0.6838101375804391
pose,simple_icp_baseline,0.65,0.6500003745505476,0.36764523438939994,0.7014418690783236
pose,simple_icp_baseline,0.7,0.7000072147781181,0.4081190578009496,0.7183958419797322
pose,simple_icp_baseline,0.75,0.7500318816236032,0.44276196195420026,0.7353826866063593
pose,simple_icp_baseline,0.7999999999999999,0.8000054187885355,0.4737324774182808,0.7518285208253295
pose,simple_icp_baseline,0.85,0.8500087360354379,0.5021361151374059,0.7702170552029608
pose,simple_icp_baseline,0.9,0.9000085725572057,0.5285574492512729,0.7909984403735449
pose,simple_icp_baseline,0.95,0.9500016529939732,0.5521757639527615,0.8248397975026437
pose,simple_icp_baseline,1.0,1.0,0.5731515106975738,0.9990359376267455
