episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
639	1108	zsNo4HB9uLZ	264	418	6	0.000000	10.928180	56960	2026-08-10T17:14:47+01:00	2026-08-10T17:19:22+01:00	0	pure_navila_baseline_100ep_20260810_ep639	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep639_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep639_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep639/measurements/1107.json	False	True	False	0.435881644487381	4.701215744018555	6027
319	512	2azQ1b91cZZ	429	721	4	0.000000	2.920037	56640	2026-08-10T17:19:22+01:00	2026-08-10T17:22:45+01:00	0	pure_navila_baseline_100ep_20260810_ep319	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep319_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep319_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep319/measurements/511.json	True	False	False	10.25328254699707	1.0644211769104004	3877
49	77	2azQ1b91cZZ	114	160	6	0.000000	6.494152	56370	2026-08-10T17:22:45+01:00	2026-08-10T17:24:44+01:00	0	pure_navila_baseline_100ep_20260810_ep49	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep49_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep49_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep49/measurements/76.json	False	False	False	1.8153616189956665	None	1807
488	843	QUCTc6BB5sX	834	1420	6	0.000000	11.092296	56809	2026-08-10T17:24:44+01:00	2026-08-10T17:28:43+01:00	0	pure_navila_baseline_100ep_20260810_ep488	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep488_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep488_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep488/measurements/842.json	False	False	False	4.551609992980957	3.639448642730713	4727
56	84	QUCTc6BB5sX	237	379	5	0.348000	12.936306	56377	2026-08-10T17:28:43+01:00	2026-08-10T17:31:16+01:00	0	pure_navila_baseline_100ep_20260810_ep56	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep56_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep56_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep56/measurements/83.json	False	False	False	11.019740104675293	None	2502
273	439	zsNo4HB9uLZ	882	1501	5	0.361000	2.011883	56594	2026-08-10T17:31:16+01:00	2026-08-10T17:35:09+01:00	0	pure_navila_baseline_100ep_20260810_ep273	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep273_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep273_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep273/measurements/438.json	True	False	False	3.101752281188965	2.4509148597717285	4352
708	1201	QUCTc6BB5sX	636	1105	5	0.000000	7.917972	57029	2026-08-10T17:35:09+01:00	2026-08-10T17:37:35+01:00	0	pure_navila_baseline_100ep_20260810_ep708	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep708_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep708_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep708/measurements/1200.json	False	False	False	9.810070037841797	None	2502
486	841	QUCTc6BB5sX	834	1420	6	0.000000	11.092296	56807	2026-08-10T17:37:35+01:00	2026-08-10T17:40:03+01:00	0	pure_navila_baseline_100ep_20260810_ep486	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep486_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep486_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep486/measurements/840.json	False	False	False	6.737630844116211	None	2502
1068	1807	zsNo4HB9uLZ	264	418	6	0.301000	15.404894	57389	2026-08-10T17:40:03+01:00	2026-08-10T17:41:43+01:00	0	pure_navila_baseline_100ep_20260810_ep1068	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1068_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1068_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep1068/measurements/1806.json	False	False	False	2.504286289215088	None	1515
498	868	zsNo4HB9uLZ	222	352	4	0.479000	7.425987	56819	2026-08-10T17:41:43+01:00	2026-08-10T17:44:48+01:00	0	pure_navila_baseline_100ep_20260810_ep498	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep498_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep498_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep498/measurements/867.json	True	False	False	6.075148582458496	2.0437331199645996	3477
