group_idx	scene	run_type	primary_idx	primary_episode_id	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	run_episode_idx	port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	success	spl	distance_to_goal	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
5	TbHJrupSAjP	standalone_outbound	539	930	198	307	7	1.519046	198	56010	2026-08-18T16:39:30+01:00	2026-08-18T16:42:58+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g5_ep198	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g5_standalone_ep198_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g5_standalone_ep198_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g5_ep198/measurements/306.json	0.0	0.0	8.207387952275225					
5	TbHJrupSAjP	round_trip	539	930	198	307	7	1.519046	539	56011	2026-08-18T16:42:58+01:00	2026-08-18T16:47:06+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g5_ep539	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g5_roundtrip_ep539_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g5_roundtrip_ep539_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g5_ep539/measurements/929.json				True	False	False	4.735957622528076	1.1882448196411133
6	Z6MFQCViBuw	standalone_outbound	653	1134	336	547	4	0.0	336	56012	2026-08-18T16:47:06+01:00	2026-08-18T16:49:33+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g6_ep336	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g6_standalone_ep336_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g6_standalone_ep336_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g6_ep336/measurements/546.json	1.0	0.7578589722392112	2.4036552644762614					
6	Z6MFQCViBuw	round_trip	653	1134	336	547	4	0.0	653	56013	2026-08-18T16:49:33+01:00	2026-08-18T16:55:36+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g6_ep653	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g6_roundtrip_ep653_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g6_roundtrip_ep653_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g6_ep653/measurements/1133.json				True	False	False	7.663915157318115	1.4788841009140015
7	X7HyMhZNoso	standalone_outbound	367	602	1038	1759	7	0.0	1038	56014	2026-08-18T16:55:36+01:00	2026-08-18T16:57:49+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g7_ep1038	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g7_standalone_ep1038_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g7_standalone_ep1038_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g7_ep1038/measurements/1758.json	1.0	1.0	1.0666675567429498					
7	X7HyMhZNoso	round_trip	367	602	1038	1759	7	0.0	367	56015	2026-08-18T16:57:49+01:00	2026-08-18T17:00:49+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g7_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g7_roundtrip_ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g7_roundtrip_ep367_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g7_ep367/measurements/601.json				True	False	False	5.396775722503662	1.0334663391113281
8	oLBMNvg9in8	standalone_outbound	408	682	522	907	4	0.760731	522	56016	2026-08-18T17:00:49+01:00	2026-08-18T17:02:33+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g8_ep522	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g8_standalone_ep522_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g8_standalone_ep522_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g8_ep522/measurements/906.json	1.0	1.0	1.5579929668494938					
8	oLBMNvg9in8	round_trip	408	682	522	907	4	0.760731	408	56017	2026-08-18T17:02:33+01:00	2026-08-18T17:08:20+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g8_ep408	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g8_roundtrip_ep408_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g8_roundtrip_ep408_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g8_ep408/measurements/681.json				True	False	False	4.966729640960693	1.2739648818969727
9	zsNo4HB9uLZ	standalone_outbound	0	1	705	1198	5	0.0	705	56000	2026-08-18T17:08:20+01:00	2026-08-18T17:09:49+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g9_ep705	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g9_standalone_ep705_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g9_standalone_ep705_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g9_ep705/measurements/1197.json	1.0	0.8066648609791724	1.0804983069474645					
9	zsNo4HB9uLZ	round_trip	0	1	705	1198	5	0.0	0	56001	2026-08-18T17:09:49+01:00	2026-08-18T17:12:37+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g9_ep0	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g9_roundtrip_ep0_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g9_roundtrip_ep0_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g9_ep0/measurements/0.json				True	True	True	0.28856101632118225	0.13825370371341705
10	zsNo4HB9uLZ	standalone_outbound	9	13	654	1135	5	0.307402	654	56002	2026-08-18T17:12:37+01:00	2026-08-18T17:14:12+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g10_ep654	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g10_standalone_ep654_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g10_standalone_ep654_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g10_ep654/measurements/1134.json	0.0	0.0	5.473843073942704					
10	zsNo4HB9uLZ	round_trip	9	13	654	1135	5	0.307402	9	56003	2026-08-18T17:14:12+01:00	2026-08-18T17:16:36+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g10_ep9	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g10_roundtrip_ep9_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g10_roundtrip_ep9_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g10_ep9/measurements/12.json				False	False	False	12.93525505065918	None
11	zsNo4HB9uLZ	standalone_outbound	21	40	420	712	7	0.257845	420	56004	2026-08-18T17:16:36+01:00	2026-08-18T17:18:53+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g11_ep420	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g11_standalone_ep420_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g11_standalone_ep420_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g11_ep420/measurements/711.json	1.0	0.9321672917007736	0.3318737798146882					
11	zsNo4HB9uLZ	round_trip	21	40	420	712	7	0.257845	21	56005	2026-08-18T17:18:54+01:00	2026-08-18T17:24:42+01:00	0	bidirectional_trained_9scenes_20260818_roundtrip_g11_ep21	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g11_roundtrip_ep21_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g11_roundtrip_ep21_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_roundtrip_g11_ep21/measurements/39.json				True	False	False	10.411751747131348	0.30512040853500366
12	zsNo4HB9uLZ	standalone_outbound	30	52	402	673	6	0.305099	402	56006	2026-08-18T17:24:42+01:00	2026-08-18T17:26:35+01:00	0	bidirectional_trained_9scenes_20260818_standalone_g12_ep402	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g12_standalone_ep402_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/bidirectional_trained_9scenes_20260818/g12_standalone_ep402_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/go2_matterport_vision_loco_2024-09-25_23-22-02_bidirectional_trained_9scenes_20260818_standalone_g12_ep402/measurements/672.json	0.0	0.0	7.7349581708054735					
